time,open,high,low,close,Volume
2026-02-04 13:20:00,23163.53,23214.73,23157.75,23214.15,334663
2026-02-04 13:25:00,23214.34,23274.41,23214.34,23267.09,495794
2026-02-04 13:30:00,23267.09,23267.86,23183.93,23202.79,446844
2026-02-04 13:35:00,23204.72,23232.05,23195.86,23221.66,262015
2026-02-04 13:40:00,23221.66,23263.62,23208.18,23216.66,276726
2026-02-04 13:45:00,23215.89,23223.97,23195.09,23195.09,261795
2026-02-04 13:50:00,23194.71,23238.6,23165.84,23231.67,335586
2026-02-04 13:55:00,23231.28,23281.72,23230.48,23248.99,416992
2026-02-04 14:00:00,23249.38,23265.55,23222.82,23225.51,410089
2026-02-04 14:05:00,23225.12,23240.91,23193.94,23232.12,510331
2026-02-04 14:10:00,23233.21,23248.61,23224.35,23232.05,23528275
2026-02-04 14:15:00,23231.28,23279.03,23229.74,23250.92,0
2026-02-04 14:20:00,23250.53,23269.78,23218.2,23254.0,395840
2026-02-04 14:25:00,23253.61,23289.42,23242.84,23286.34,469484
2026-02-04 14:30:00,23285.57,23324.5,23282.88,23322.53,565663
2026-02-04 14:35:00,23323.3,23334.08,23299.43,23312.52,396081
2026-02-04 14:40:00,23312.52,23362.18,23309.25,23344.09,564824
2026-02-04 14:45:00,23344.47,23424.17,23331.77,23381.63,765654
2026-02-04 14:50:00,23381.43,23423.02,23369.11,23393.37,565427
2026-02-04 14:55:00,23393.76,23429.17,23382.97,23420.13,448987
2026-02-04 15:00:00,23419.93,23432.26,23371.04,23381.82,648622
2026-02-04 15:05:00,23381.43,23401.65,23376.82,23399.14,243243
2026-02-04 15:10:00,23399.15,23405.5,23339.85,23365.27,507849
2026-02-04 15:15:00,23365.65,23377.2,23347.55,23367.77,242652
2026-02-04 15:20:00,23367.19,23394.91,23350.59,23387.21,404364
2026-02-04 15:25:00,23388.36,23404.53,23371.62,23377.2,264169
2026-02-04 15:30:00,23376.43,23394.14,23358.34,23381.24,309668
2026-02-04 15:35:00,23382.4,23404.92,23367.58,23401.07,488408
2026-02-04 15:40:00,23401.46,23413.01,23379.9,23382.78,373308
2026-02-04 15:45:00,23382.59,23405.27,23364.49,23398.76,426924
2026-02-04 15:50:00,23400.3,23408.77,23320.22,23324.84,731388
2026-02-04 15:55:00,23324.84,23333.83,23300.59,23316.37,1959774
2026-02-04 16:00:00,23318.68,23374.5,23205.14,23240.52,0
2026-02-04 16:05:00,23239.76,23365.65,23234.75,23341.78,0
2026-02-04 16:10:00,23341.78,23379.91,23321.38,23363.34,0
2026-02-04 16:15:00,23362.9,23372.98,23316.74,23350.21,0
2026-02-04 16:20:00,23353.33,23358.72,23317.14,23343.79,0
2026-02-04 16:25:00,23347.17,23370.7,23327.15,23361.61,0
2026-02-04 16:30:00,23359.49,23481.15,23354.87,23480.76,0
2026-02-04 16:35:00,23480.38,23488.08,23446.48,23465.75,0
2026-02-04 16:40:00,23468.83,23479.22,23449.58,23465.36,0
2026-02-04 16:45:00,23463.05,23481.15,23434.56,23446.5,0
2026-02-04 16:50:00,23443.29,23465.75,23425.32,23461.9,0
2026-02-04 16:55:00,23461.52,23463.44,23419.94,23426.1,0
2026-02-04 17:00:00,23420.7,23436.88,23420.7,23426.16,0
2026-02-04 17:05:00,23428.86,23431.48,23405.69,23414.16,0
2026-02-04 17:10:00,23414.16,23419.16,23396.84,23408.0,0
2026-02-04 17:15:00,23408.38,23411.85,23321.38,23408.0,0
2026-02-04 17:20:00,23404.54,23414.54,23398.38,23400.68,0
2026-02-04 17:25:00,23400.59,23404.54,23392.6,23393.37,0
2026-02-04 17:30:00,23398.95,23402.22,23391.25,23396.06,0
2026-02-04 17:35:00,23399.53,23402.61,23386.25,23386.37,0
2026-02-04 17:40:00,23383.74,23386.44,23349.86,23369.5,0
2026-02-04 17:45:00,23363.59,23387.21,23363.59,23375.28,0
2026-02-04 17:50:00,23375.28,23377.59,23321.38,23372.2,0
2026-02-04 17:55:00,23373.35,23377.59,23365.26,23372.37,0
2026-02-04 18:00:00,23377.59,23417.24,23374.12,23417.24,0
2026-02-04 18:05:00,23417.05,23424.94,23374.5,23390.3,0
2026-02-04 18:10:00,23396.45,23416.86,23384.9,23385.86,0
2026-02-04 18:15:00,23385.96,23402.22,23382.71,23389.84,0
2026-02-04 18:20:00,23388.36,23401.19,23382.13,23382.13,0
2026-02-04 18:25:00,23382.98,23408.0,23380.65,23407.23,0
2026-02-04 18:30:00,23409.16,23431.87,23405.32,23415.89,0
2026-02-04 18:35:00,23418.78,23418.78,23393.37,23393.75,0
2026-02-04 18:40:00,23392.22,23402.22,23379.5,23392.98,0
2026-02-04 18:45:00,23391.06,23404.92,23385.67,23399.12,0
2026-02-04 18:50:00,23403.76,23413.0,23395.62,23398.38,0
2026-02-04 18:55:00,23396.84,23396.84,23360.95,23381.63,0
2026-02-05 04:00:00,23328.3,23361.41,23322.14,23329.08,0
2026-02-05 04:05:00,23321.38,23339.09,23309.82,23316.76,0
2026-02-05 04:10:00,23318.68,23331.0,23305.98,23325.61,0
2026-02-05 04:15:00,23324.46,23331.38,23310.6,23325.61,0
2026-02-05 04:20:00,23326.38,23359.88,23326.38,23358.34,0
2026-02-05 04:25:00,23359.88,23386.82,23359.88,23386.82,0
2026-02-05 04:30:00,23389.52,23411.46,23389.52,23399.91,0
2026-02-05 04:35:00,23392.6,23392.6,23364.11,23364.11,0
2026-02-05 04:40:00,23365.65,23367.19,23352.56,23353.72,0
2026-02-05 04:45:00,23353.33,23360.64,23334.08,23346.4,0
2026-02-05 04:50:00,23352.95,23371.42,23350.64,23369.5,0
2026-02-05 04:55:00,23368.34,23377.2,23354.1,23355.64,0
2026-02-05 05:00:00,23349.48,23367.96,23348.71,23359.88,0
2026-02-05 05:05:00,23362.18,23362.18,23344.48,23356.8,0
2026-02-05 05:10:00,23366.42,23397.99,23366.42,23396.45,0
2026-02-05 05:15:00,23398.38,23404.54,23388.75,23400.3,0
2026-02-05 05:20:00,23399.91,23408.38,23391.45,23401.46,0
2026-02-05 05:25:00,23401.46,23409.92,23400.3,23403.38,0
2026-02-05 05:30:00,23404.92,23404.92,23369.5,23369.5,0
2026-02-05 05:35:00,23371.42,23380.66,23346.78,23352.18,0
2026-02-05 05:40:00,23354.87,23376.43,23350.25,23364.11,0
2026-02-05 05:45:00,23361.8,23372.58,23354.48,23367.19,0
2026-02-05 05:50:00,23362.96,23365.65,23354.1,23354.1,0
2026-02-05 05:55:00,23356.02,23361.41,23354.1,23356.02,0
2026-02-05 06:00:00,23351.79,23353.72,23336.78,23342.55,0
2026-02-05 06:05:00,23347.55,23359.88,23346.02,23359.88,0
2026-02-05 06:10:00,23356.41,23357.95,23349.86,23355.64,0
2026-02-05 06:15:00,23365.26,23373.74,23361.03,23361.03,0
2026-02-05 06:20:00,23367.19,23384.13,23367.19,23376.82,0
2026-02-05 06:25:00,23369.5,23369.88,23345.24,23348.71,0
2026-02-05 06:30:00,23346.78,23349.86,23315.6,23334.08,0
2026-02-05 06:35:00,23329.08,23345.63,23326.38,23337.93,0
2026-02-05 06:40:00,23328.69,23347.17,23323.3,23331.77,0
2026-02-05 06:45:00,23338.7,23349.48,23330.62,23346.78,0
2026-02-05 06:50:00,23346.78,23347.17,23334.46,23337.93,0
2026-02-05 06:55:00,23337.93,23353.72,23337.93,23349.48,0
2026-02-05 07:00:00,23353.72,23375.28,23327.92,23368.34,0
2026-02-05 07:05:00,23375.28,23375.28,23351.02,23351.79,0
2026-02-05 07:10:00,23352.95,23363.34,23343.7,23359.49,0
2026-02-05 07:15:00,23365.26,23365.26,23299.04,23299.04,0
2026-02-05 07:20:00,23300.59,23304.05,23225.51,23225.51,0
2026-02-05 07:25:00,23217.81,23255.16,23215.12,23236.29,0
2026-02-05 07:30:00,23234.75,23246.68,23177.0,23177.0,0
2026-02-05 07:35:00,23179.31,23192.02,23142.74,23163.52,0
2026-02-05 07:40:00,23166.6,23177.0,23092.3,23126.56,0
2026-02-05 07:45:00,23135.42,23140.04,23051.1,23071.9,0
2026-02-05 07:50:00,23076.9,23128.88,23076.9,23117.71,0
2026-02-05 07:55:00,23118.1,23138.5,23075.36,23128.49,0
2026-02-05 08:00:00,23325.95,23438.03,23052.26,23113.86,0
2026-02-05 08:05:00,23119.25,23435.72,23113.28,23167.38,0
2026-02-05 08:10:00,23166.22,23173.15,23128.3,23138.88,0
2026-02-05 08:15:00,23143.12,23157.75,23121.18,23124.83,0
2026-02-05 08:20:00,23124.26,23158.52,23124.26,23144.28,0
2026-02-05 08:25:00,23143.89,23146.59,23119.25,23131.57,0
2026-02-05 08:30:00,23132.72,23181.62,23101.54,23177.39,0
2026-02-05 08:35:00,23177.0,23201.26,23151.98,23151.98,0
2026-02-05 08:40:00,23151.61,23171.42,23144.24,23150.55,0
2026-02-05 08:45:00,23148.81,23321.38,23125.02,23134.65,0
2026-02-05 08:50:00,23131.38,23152.02,23098.08,23138.5,0
2026-02-05 08:55:00,23138.5,23141.2,23103.08,23106.93,0
2026-02-05 09:00:00,23106.54,23172.73,23075.74,23152.36,0
2026-02-05 09:05:00,23147.74,23160.45,23127.34,23130.61,0
2026-02-05 09:10:00,23129.64,23133.5,23101.6,23103.85,0
2026-02-05 09:15:00,23102.85,23115.78,23077.28,23097.05,0
2026-02-05 09:20:00,23093.8,23099.23,23065.35,23088.84,0
2026-02-05 09:25:00,23091.53,23115.98,23077.67,23109.59,0
2026-02-05 09:30:00,23108.09,23148.51,22997.97,23146.59,3885660
2026-02-05 09:35:00,23148.51,23230.9,23095.38,23228.97,1402865
2026-02-05 09:40:00,23230.52,23262.28,23175.08,23242.07,1138125
2026-02-05 09:45:00,23240.91,23265.93,23204.72,23254.77,960239
2026-02-05 09:50:00,23251.69,23285.18,23175.84,23195.48,685773
2026-02-05 09:55:00,23195.48,23206.65,23098.08,23108.85,984729
2026-02-05 10:00:00,23108.47,23138.5,23024.54,23047.26,1223620
2026-02-05 10:05:00,23049.29,23053.8,22989.12,23019.15,879974
2026-02-05 10:10:00,23018.9,23043.41,22910.58,22912.12,1106933
2026-02-05 10:15:00,22912.12,23002.21,22904.42,22987.2,1191573
2026-02-05 10:20:00,22984.89,23006.83,22930.98,22954.46,837372
2026-02-05 10:25:00,22953.32,23008.37,22911.35,22930.22,784259
2026-02-05 10:30:00,22929.83,22974.88,22907.11,22919.82,781468
2026-02-05 10:35:00,22920.97,23016.84,22916.74,23012.99,832205
2026-02-05 10:40:00,23011.84,23043.79,22970.64,23023.77,839961
2026-02-05 10:45:00,23019.92,23036.09,22923.28,22939.07,1306751
2026-02-05 10:50:00,22939.07,23002.59,22937.15,22950.62,804281
2026-02-05 10:55:00,22949.85,22984.11,22922.32,22982.58,584934
2026-02-05 11:00:00,22982.96,22998.74,22936.76,22937.53,715749
2026-02-05 11:05:00,22937.61,22959.86,22910.0,22912.89,553800
2026-02-05 11:10:00,22911.35,22961.02,22898.65,22906.73,748037
